,sequences,sequence_tok
73,"Pfizer generated a BNT162b2 COVID-19 vaccine , which is a lipid nanoparticle – formulated , nucleoside - modified RNA vaccine that encodes a prefusion stabilized , membrane - anchored SARS - CoV-2 full - length spike protein [ ] .","['Pfizer', 'generated', 'a', 'BNT162b2', 'COVID-19', 'vaccine', ',', 'which', 'is', 'a', 'lipid', 'nanoparticle', '–', 'formulated', ',', 'nucleoside', '-', 'modified', 'RNA', 'vaccine', 'that', 'encodes', 'a', 'prefusion', 'stabilized', ',', 'membrane', '-', 'anchored', 'SARS', '-', 'CoV-2', 'full', '-', 'length', 'spike', 'protein', '[', ']', '.']"
74,""" Our figures are being reconciled with the Indian Council of Medical Research , "" the ministry said on its website , adding that state - wise distribution of figures is subject to further verification and reconciliation .","['""', 'Our', 'figures', 'are', 'being', 'reconciled', 'with', 'the', 'Indian', 'Council', 'of', 'Medical', 'Research', ',', '""', 'the', 'ministry', 'said', 'on', 'its', 'website', ',', 'adding', 'that', 'state', '-', 'wise', 'distribution', 'of', 'figures', 'is', 'subject', 'to', 'further', 'verification', 'and', 'reconciliation', '.']"
75,About Theresa Machemer Tags Cancer Disease Disease and Illnesses New Research Recommended Videos .,"['About', 'Theresa', 'Machemer', 'Tags', 'Cancer', 'Disease', 'Disease', 'and', 'Illnesses', 'New', 'Research', 'Recommended', 'Videos', '.']"
76,"West Nile virus detected in state for 1st time this year - Associated Press West Nile virus detected in state for 1st time this year Associated Press BOSTON ( AP ) — West Nile virus has been detected in mosquitoes in Massachusetts for the first time this year , state public health officials said .","['West', 'Nile', 'virus', 'detected', 'in', 'state', 'for', '1st', 'time', 'this', 'year', '-', 'Associated', 'Press', 'West', 'Nile', 'virus', 'detected', 'in', 'state', 'for', '1st', 'time', 'this', 'year', 'Associated', 'Press', 'BOSTON', '(', 'AP', ')', '—', 'West', 'Nile', 'virus', 'has', 'been', 'detected', 'in', 'mosquitoes', 'in', 'Massachusetts', 'for', 'the', 'first', 'time', 'this', 'year', ',', 'state', 'public', 'health', 'officials', 'said', '.']"
77,""" Rabies is deadly to both humans and animals once symptoms begin ; therefore , it is important when a person or pet has contact with wildlife to seek medical or veterinary care immediately .","['""', 'Rabies', 'is', 'deadly', 'to', 'both', 'humans', 'and', 'animals', 'once', 'symptoms', 'begin', ';', 'therefore', ',', 'it', 'is', 'important', 'when', 'a', 'person', 'or', 'pet', 'has', 'contact', 'with', 'wildlife', 'to', 'seek', 'medical', 'or', 'veterinary', 'care', 'immediately', '.']"
78,"Former governor Andrew Cuomo counted only laboratory - confirmed deaths reported via state system New York Gov . Kathy Hochul speaks to reporters after a swearing - in ceremony at the state Capitol on Tuesday in Albany , N.Y. On her first day in office , Hochul's administration acknowledged almost 12,000 more COVID-19 deaths than were acknowledged by the previous government .","['Former', 'governor', 'Andrew', 'Cuomo', 'counted', 'only', 'laboratory', '-', 'confirmed', 'deaths', 'reported', 'via', 'state', 'system', 'New', 'York', 'Gov', '.', 'Kathy', 'Hochul', 'speaks', 'to', 'reporters', 'after', 'a', 'swearing', '-', 'in', 'ceremony', 'at', 'the', 'state', 'Capitol', 'on', 'Tuesday', 'in', 'Albany', ',', 'N.Y.', 'On', 'her', 'first', 'day', 'in', 'office', ',', ""Hochul's"", 'administration', 'acknowledged', 'almost', '12,000', 'more', 'COVID-19', 'deaths', 'than', 'were', 'acknowledged', 'by', 'the', 'previous', 'government', '.']"
79,Only supportive care is available .,"['Only', 'supportive', 'care', 'is', 'available', '.']"
80,"( For 10 of the hospitalizations , age was not reported . )","['(', 'For', '10', 'of', 'the', 'hospitalizations', ',', 'age', 'was', 'not', 'reported', '.', ')']"
81,"The prime minister , Naftali Bennett – a critic of the cycle of lockdowns implemented by his predecessor , Benjamin Netanyahu – has maintained that the surge can be controlled through vaccination and protective measures such as masks .","['The', 'prime', 'minister', ',', 'Naftali', 'Bennett', '–', 'a', 'critic', 'of', 'the', 'cycle', 'of', 'lockdowns', 'implemented', 'by', 'his', 'predecessor', ',', 'Benjamin', 'Netanyahu', '–', 'has', 'maintained', 'that', 'the', 'surge', 'can', 'be', 'controlled', 'through', 'vaccination', 'and', 'protective', 'measures', 'such', 'as', 'masks', '.']"
82,West Virginia currently has 813 people hospitalized .,"['West', 'Virginia', 'currently', 'has', '813', 'people', 'hospitalized', '.']"
83,"Patients and families meeting this criteria must be approved in advance by the care team , which can be reached at 519-751-5544 , ext .","['Patients', 'and', 'families', 'meeting', 'this', 'criteria', 'must', 'be', 'approved', 'in', 'advance', 'by', 'the', 'care', 'team', ',', 'which', 'can', 'be', 'reached', 'at', '519-751-5544', ',', 'ext', '.']"
84,"Contacts will continue to be followed up for 14 days following last exposure , to ensure we can take necessary action if needed .","['Contacts', 'will', 'continue', 'to', 'be', 'followed', 'up', 'for', '14', 'days', 'following', 'last', 'exposure', ',', 'to', 'ensure', 'we', 'can', 'take', 'necessary', 'action', 'if', 'needed', '.']"
85,"There were 324 confirmed cases in Woking in the week ending August 14 , which is equivalent to an infection rate of 324.0 cases per 100,000 people .","['There', 'were', '324', 'confirmed', 'cases', 'in', 'Woking', 'in', 'the', 'week', 'ending', 'August', '14', ',', 'which', 'is', 'equivalent', 'to', 'an', 'infection', 'rate', 'of', '324.0', 'cases', 'per', '100,000', 'people', '.']"
86,"Thirty - two new cases were reported on Saturday , 29 on Sunday and 12 on Monday .","['Thirty', '-', 'two', 'new', 'cases', 'were', 'reported', 'on', 'Saturday', ',', '29', 'on', 'Sunday', 'and', '12', 'on', 'Monday', '.']"
87,"Nationally , almost 35 per cent of us are fully vaccinated .","['Nationally', ',', 'almost', '35', 'per', 'cent', 'of', 'us', 'are', 'fully', 'vaccinated', '.']"
88,""" Prof Reicher said it underlined the need for people to take responsibility for their own behaviour as Covid restrictions are relaxed . .","['""', 'Prof', 'Reicher', 'said', 'it', 'underlined', 'the', 'need', 'for', 'people', 'to', 'take', 'responsibility', 'for', 'their', 'own', 'behaviour', 'as', 'Covid', 'restrictions', 'are', 'relaxed', '.', '.']"
89,"The country ’ s Covid cases is at about 32.7 million , with deaths rising by 460 to 437,830 in the last 24 hours , data showed .","['The', 'country', '’', 's', 'Covid', 'cases', 'is', 'at', 'about', '32.7', 'million', ',', 'with', 'deaths', 'rising', 'by', '460', 'to', '437,830', 'in', 'the', 'last', '24', 'hours', ',', 'data', 'showed', '.']"
90,"Photo / Getty "" People are obviously just too privileged to realise what they actually have , "" Stanton said .","['Photo', '/', 'Getty', '""', 'People', 'are', 'obviously', 'just', 'too', 'privileged', 'to', 'realise', 'what', 'they', 'actually', 'have', ',', '""', 'Stanton', 'said', '.']"
91,"Although Uganda is experienced and well - equipped for controlling filovirus outbreaks , these viruses often spread quickly and unpredictably , are highly lethal and lack effective treatments .","['Although', 'Uganda', 'is', 'experienced', 'and', 'well', '-', 'equipped', 'for', 'controlling', 'filovirus', 'outbreaks', ',', 'these', 'viruses', 'often', 'spread', 'quickly', 'and', 'unpredictably', ',', 'are', 'highly', 'lethal', 'and', 'lack', 'effective', 'treatments', '.']"
92,"This is what the numbers right now show very , very clearly .","['This', 'is', 'what', 'the', 'numbers', 'right', 'now', 'show', 'very', ',', 'very', 'clearly', '.']"
93,"The ministry slammed the United States for being engrossed in "" impudently poking its nose "" into the human rights situations of other countries rather than taking measures to ensure the elementary rights of its own people .","['The', 'ministry', 'slammed', 'the', 'United', 'States', 'for', 'being', 'engrossed', 'in', '""', 'impudently', 'poking', 'its', 'nose', '""', 'into', 'the', 'human', 'rights', 'situations', 'of', 'other', 'countries', 'rather', 'than', 'taking', 'measures', 'to', 'ensure', 'the', 'elementary', 'rights', 'of', 'its', 'own', 'people', '.']"
94,"24 , two doses will be required .","['24', ',', 'two', 'doses', 'will', 'be', 'required', '.']"
95,- IDVA CHETVGURTATH V na chernata chum !,"['-', 'IDVA', 'CHETVGURTATH', 'V', 'na', 'chernata', 'chum', '!']"
96,"In health care facilities , CRAB readily contaminates the patient care environment and health care providers ’ hands , survives for extended periods on dry surfaces , and can be spread by asymptomatically colonized persons ; these factors make CRAB outbreaks in acute care hospitals difficult to control ( ) .","['In', 'health', 'care', 'facilities', ',', 'CRAB', 'readily', 'contaminates', 'the', 'patient', 'care', 'environment', 'and', 'health', 'care', 'providers', '’', 'hands', ',', 'survives', 'for', 'extended', 'periods', 'on', 'dry', 'surfaces', ',', 'and', 'can', 'be', 'spread', 'by', 'asymptomatically', 'colonized', 'persons', ';', 'these', 'factors', 'make', 'CRAB', 'outbreaks', 'in', 'acute', 'care', 'hospitals', 'difficult', 'to', 'control', '(', ')', '.']"
97,"Because the case was suspected to be nosocomial , health care facility water samples were tested for Legionella .","['Because', 'the', 'case', 'was', 'suspected', 'to', 'be', 'nosocomial', ',', 'health', 'care', 'facility', 'water', 'samples', 'were', 'tested', 'for', 'Legionella', '.']"
98,"Five cases of the deadly virus were reported on Saturday , while two more were found to be infected on Friday .","['Five', 'cases', 'of', 'the', 'deadly', 'virus', 'were', 'reported', 'on', 'Saturday', ',', 'while', 'two', 'more', 'were', 'found', 'to', 'be', 'infected', 'on', 'Friday', '.']"
99,"Dr Samantha Walker , Asthma UK and the British Lung Foundation director of research and innovation , said : We ’ re really pleased that these research priorities , which will guide the direction of future research into the long - term effects of Covid-19 on respiratory diseases , have been developed with patient needs at their heart .","['Dr', 'Samantha', 'Walker', ',', 'Asthma', 'UK', 'and', 'the', 'British', 'Lung', 'Foundation', 'director', 'of', 'research', 'and', 'innovation', ',', 'said', ':', 'We', '’', 're', 'really', 'pleased', 'that', 'these', 'research', 'priorities', ',', 'which', 'will', 'guide', 'the', 'direction', 'of', 'future', 'research', 'into', 'the', 'long', '-', 'term', 'effects', 'of', 'Covid-19', 'on', 'respiratory', 'diseases', ',', 'have', 'been', 'developed', 'with', 'patient', 'needs', 'at', 'their', 'heart', '.']"
100,""" I think that's something we'd have to consider earlier on .","['""', 'I', 'think', ""that's"", 'something', ""we'd"", 'have', 'to', 'consider', 'earlier', 'on', '.']"
101,"[ To date ] , 195,695 samples have been tested since this outbreak started in April 2021 , with 238,520 tested since testing began in early 2020 . Three thousand , one hundred and twenty - three tests have been reported for July 9.Testing number data for all labs for July 9 are still being received and so the testing number is expected to increase once updated .","['[', 'To', 'date', ']', ',', '195,695', 'samples', 'have', 'been', 'tested', 'since', 'this', 'outbreak', 'started', 'in', 'April', '2021', ',', 'with', '238,520', 'tested', 'since', 'testing', 'began', 'in', 'early', '2020', '.', 'Three', 'thousand', ',', 'one', 'hundred', 'and', 'twenty', '-', 'three', 'tests', 'have', 'been', 'reported', 'for', 'July', '9.Testing', 'number', 'data', 'for', 'all', 'labs', 'for', 'July', '9', 'are', 'still', 'being', 'received', 'and', 'so', 'the', 'testing', 'number', 'is', 'expected', 'to', 'increase', 'once', 'updated', '.']"
102,Earlier today it was announced there are now 107 Covid cases in NZ .,"['Earlier', 'today', 'it', 'was', 'announced', 'there', 'are', 'now', '107', 'Covid', 'cases', 'in', 'NZ', '.']"
103,: Mayor John Tory ’ s to - do list is daunting .,"[':', 'Mayor', 'John', 'Tory', '’', 's', 'to', '-', 'do', 'list', 'is', 'daunting', '.']"
104,""" She felt people were talking behind her back that I was always having bruises , she worried it might have been leukaemia .","['""', 'She', 'felt', 'people', 'were', 'talking', 'behind', 'her', 'back', 'that', 'I', 'was', 'always', 'having', 'bruises', ',', 'she', 'worried', 'it', 'might', 'have', 'been', 'leukaemia', '.']"
105,Today we edged ahead of our nearest neighbours - a brilliant effort by everyone involved .,"['Today', 'we', 'edged', 'ahead', 'of', 'our', 'nearest', 'neighbours', '-', 'a', 'brilliant', 'effort', 'by', 'everyone', 'involved', '.']"
106,"An additional one is dormant . A further 10 sub - clusters are unlinked - two are active , three contained and five dormant .","['An', 'additional', 'one', 'is', 'dormant', '.', 'A', 'further', '10', 'sub', '-', 'clusters', 'are', 'unlinked', '-', 'two', 'are', 'active', ',', 'three', 'contained', 'and', 'five', 'dormant', '.']"
107,This suggests that even fully vaccinated people who contract the Delta variant are highly infectious .,"['This', 'suggests', 'that', 'even', 'fully', 'vaccinated', 'people', 'who', 'contract', 'the', 'Delta', 'variant', 'are', 'highly', 'infectious', '.']"
108,The disease has a seasonal pattern : most cases in the southern hemisphere occur in the first half of the year and most cases in the northern hemisphere in the second half .,"['The', 'disease', 'has', 'a', 'seasonal', 'pattern', ':', 'most', 'cases', 'in', 'the', 'southern', 'hemisphere', 'occur', 'in', 'the', 'first', 'half', 'of', 'the', 'year', 'and', 'most', 'cases', 'in', 'the', 'northern', 'hemisphere', 'in', 'the', 'second', 'half', '.']"
109,""" With the health and safety of our guests and staff being our top priority , we made the decision to cancel Week 5 . We continue to follow all Public Health protocols and are working closely with them on a date when we can reopen , "" the statement said .","['""', 'With', 'the', 'health', 'and', 'safety', 'of', 'our', 'guests', 'and', 'staff', 'being', 'our', 'top', 'priority', ',', 'we', 'made', 'the', 'decision', 'to', 'cancel', 'Week', '5', '.', 'We', 'continue', 'to', 'follow', 'all', 'Public', 'Health', 'protocols', 'and', 'are', 'working', 'closely', 'with', 'them', 'on', 'a', 'date', 'when', 'we', 'can', 'reopen', ',', '""', 'the', 'statement', 'said', '.']"
110,""" We should only go abroad if it is absolutely essential.Otherwise , we risk bringing the virus or more worryingly a new variant back home with us to Wales .","['""', 'We', 'should', 'only', 'go', 'abroad', 'if', 'it', 'is', 'absolutely', 'essential.Otherwise', ',', 'we', 'risk', 'bringing', 'the', 'virus', 'or', 'more', 'worryingly', 'a', 'new', 'variant', 'back', 'home', 'with', 'us', 'to', 'Wales', '.']"
111,""" My strong advice to everyone in regional NSW is to get vaccinated as soon as you can .","['""', 'My', 'strong', 'advice', 'to', 'everyone', 'in', 'regional', 'NSW', 'is', 'to', 'get', 'vaccinated', 'as', 'soon', 'as', 'you', 'can', '.']"
112,""" According to Dr . Lee , those who tested positive were either unvaccinated or not fully vaccinated , with a second dose having yet to take effect two weeks prior to their arrival .","['""', 'According', 'to', 'Dr', '.', 'Lee', ',', 'those', 'who', 'tested', 'positive', 'were', 'either', 'unvaccinated', 'or', 'not', 'fully', 'vaccinated', ',', 'with', 'a', 'second', 'dose', 'having', 'yet', 'to', 'take', 'effect', 'two', 'weeks', 'prior', 'to', 'their', 'arrival', '.']"
